geoid,name_short,name_long,male_pct,female_pct,age_under_18_pct,age_18_to_34_pct,age_35_to_64_pct,age_65_and_over_pct,white_pct,black_pct,asian_pct,hispanic_pct,native_american_pct,col_grad_pct,owners_pct,renters_pct,agriculture_etc_pct,construction_pct,manufacturing_pct,wholesale_trade_pct,retail_trade_pct,transportation_etc_pct,information_pct,finance_etc_pct,professional_etc_pct,educational_etc_pct,arts_etc_pct,other_pct,public_admin_pct,poverty_rat_under_50_pct,poverty_rat_50_99_pct,poverty_rat_hundred_124_pct,poverty_rat_125_149_pct,poverty_rat_150_184_pct,poverty_rat_185_199_pct,poverty_rat_over_200_pct,unemploymed_pct,med_hh_income,med_contract_rent,med_home_val,gini,pop_density,land_area_mile,aland,total_gender_age
35,New Mexico,New Mexico,49.4991228032528,50.5008771967472,23.054323251889226,21.456818982737893,36.59963348006529,16.698640595396995,36.677696599128,1.8109022274931916,1.493928768476806,49.202559249525876,8.577930311618243,28.141635189196908,68.00108482444135,31.99891517555865,3.9894601059612484,7.225990308065853,3.9948582591180988,1.7924117711228045,11.143587500126518,4.368567903705944,1.4001459750582832,4.777702928385627,11.633694822158969,25.6777774903761,10.82104784900466,5.58765082496151,7.587104261954379,8.126747582293081,10.424512478400942,5.683503991656885,5.391670224922331,6.933559373857362,2.8983757313493443,60.541630617520056,6.575097213306114,51243,732,175700,0.4742,17.286072888384727,121312.74775597415,314198560935,2097021
72,Puerto Rico,Puerto Rico,47.50491608106788,52.49508391893212,18.772334304570343,20.66188481411654,38.577368150429315,18.890529118373582,0.9741550207301664,0.09872092816102017,0.06723712250917024,98.67869378758475,0.004638102100906672,26.671882654011036,67.79180409853129,32.20819590146871,1.3338139870223502,5.5891580116526045,8.949024727683703,2.8165007112375533,13.287184083867572,3.8412673668621755,1.6437381866365282,5.343050332235625,10.168358697558409,23.079561176172568,9.837681950154915,5.423722208149028,8.686938560766967,23.475944063700926,19.931543627072333,8.842255683034661,7.720722537899033,8.959809534255607,3.137020880526061,27.932703673511373,15.073505379582658,21058,383,111200,0.5448,950.7410677638524,3424.320364804779,8868948653,3255642
06,California,California,49.720100046706115,50.279899953293885,22.763777167517034,23.361095478442635,38.1556555283872,13.547079459593666,36.50977635020444,5.444949290046417,14.59863681775411,39.09144515063187,0.33478351801908923,34.71525729301358,55.26409981627268,44.73590018372732,2.1145076493704527,6.384639715332751,8.990757388335023,2.757746142601551,10.41686084556495,5.517369273402852,2.9102648408898557,5.996993386673406,13.842873778335415,21.238201922529296,10.161788874865701,5.107027475996807,4.560968706101939,5.633689162356081,6.943270777557703,4.207289361496363,4.112575415493626,5.949590620670983,2.5519383552403707,70.60164630718488,6.183742551874064,78672,1442,538500,0.4874,252.44735918222662,155858.32677139816,403671196038,39346023
01,Alabama,Alabama,48.34751836533498,51.65248163466502,22.335386392424077,21.039686617267357,38.31256363440916,15.730507689672946,65.23657592415249,26.42347950803423,1.3757294327254266,4.351990707077148,0.4352379002147067,26.227345285863723,69.18200861634394,30.817991383656057,1.4113772449440702,6.696931017468984,14.245612942726979,2.498318385121411,11.561444273688599,5.543904535218629,1.4669908197506965,5.566357513681694,9.634073055199421,22.653168464320046,8.316988885775661,4.896117238510065,5.508715623593741,7.077395614984782,8.905498223452273,5.038127560192422,4.847563109673163,6.948110220147733,2.7588149418624393,64.42449032968719,5.582389039646306,52035,600,149600,0.4777,96.61329152942398,50647.13066431196,131175460655,4893186
13,Georgia,Georgia,48.62737207603347,51.37262792396653,23.822518710694798,22.165458938690993,38.73269054509076,12.938389946008108,52.09193027504476,31.146830162165852,4.093279763314667,9.632951932372686,0.16576683349214608,32.197329350346784,64.04673411545522,35.95326588454477,1.068637991116169,6.617356401451733,10.521582422470134,2.7943682922463107,11.31793390545406,6.6785546779616345,2.2810970234013657,6.354763863242523,12.678612923243104,20.87696213791953,9.222977396961348,4.744180003172942,4.842972961359143,6.432147542250137,7.843290274066113,4.635406283950109,4.6361778912246665,6.474019445870724,2.848021984751673,67.13093657788659,5.603971721191324,61224,843,190200,0.4814,182.20950862308052,57716.96043456572,149486234922,10516579
05,Arkansas,Arkansas,49.0894204370503,50.9105795629497,23.335379679023653,21.11689304296695,37.24635799716655,15.954324767345767,71.55344863478639,15.122981613102546,1.5070024532906932,7.624126249679186,0.5283091285721543,23.81653724585809,65.82213056493391,34.177869435066086,2.6725751824015003,6.910031548053519,13.392958034675374,2.4460430556106973,13.0529689680763,5.908922937847586,1.3748446265999261,4.907508925381066,7.690028921594077,24.564572726967324,7.871590565513366,4.814590287597309,4.3933642196819545,6.7168903931303525,9.365761556445255,5.400356069688414,5.821824917011136,8.022547659808078,3.1882432014119653,61.4843762025048,5.1904807405541415,49475,579,133600,0.4792,57.92860284560635,51992.847264543314,134660850501,3011873
41,Oregon,Oregon,49.579871974209034,50.420128025790966,20.761593986705122,21.68970195477099,38.676297414055256,16.909279068353054,74.90983745120735,1.805836968488722,4.435001314546256,13.22397617438785,0.8582143337740695,34.40076337173962,62.76751376950514,37.23248623049485,3.067331782235378,6.476785404919466,11.15380739612616,2.621064320593779,11.587118705655584,4.495784782924884,1.7069854508865037,5.534560411658155,11.289127207075548,23.358949449661377,9.585120181961958,4.494494131756621,4.628870774544587,5.600886948269162,6.764005756766838,4.122517784855486,4.250082504545072,5.892728469242892,2.654571532905156,70.71520700341539,5.457944118221274,65667,1035,336700,0.4579,43.5054275984489,95995.97637672453,248628426864,4176346
28,Mississippi,Mississippi,48.41676350301073,51.58323649698927,23.717643665729323,21.2390021580671,37.65188214639643,14.835227301309429,56.372602776478246,37.516797542452885,0.9913694084347391,3.163890691470185,0.43251890195131526,22.752068466127984,68.77470001764206,31.225299982357928,2.3082708883874523,6.68943242471412,13.187970348203477,2.4119636874092487,11.273474674099727,6.541414775218306,1.1645932129081045,4.5303054070686475,6.936798876996529,25.44914105518886,9.48020867270804,4.737127894489158,5.289298082608329,8.829811513682964,10.747868420997865,5.843450428258171,5.443321954275194,7.311189376339282,3.1956862709732734,58.62867203547325,7.1259508963192415,46511,595,125500,0.4838,63.54611024149766,46923.957873549996,121532487805,2981835
08,Colorado,Colorado,50.34635455237236,49.65364544762764,22.14683181452142,23.630281203308538,38.70136568180483,13.683414700560744,67.50219791779172,3.943586952583024,3.135748820653075,21.65597230289365,0.516048933618485,41.60357202735676,66.2170242191221,33.782975780877905,2.220665859279746,8.057991581340033,6.8243375063456595,2.342625092482347,10.552299639740188,4.8372395811166795,2.7403034408370037,7.09375777779518,14.259526660622047,21.236874997233617,10.375217012189454,4.895086799768611,4.5640740512494355,4.640604131367946,5.141015449269324,3.290057933187306,3.4344011303019526,5.4705191017039905,2.539315143562259,75.48408711060722,4.634178732236086,75231,1217,369900,0.4565,54.85417947675149,103637.06201109813,268418746964,5684926
49,Utah,Utah,50.35955698695022,49.64044301304979,29.435057131496535,24.383139457210323,33.466995045440854,10.603067555332997,77.91195780453339,1.1101030420098252,2.2867513381244646,14.155289395694837,0.8800982724572779,34.684490856700016,70.53037589263911,29.469624107360875,1.5380232995994467,7.235193542240198,9.99276155468538,2.4277732578141715,11.511729468146612,5.160952977420343,2.0053680258424853,7.134713775743469,12.681717169943477,22.38507098293925,8.754096420253859,4.463838014910026,4.708761510461277,4.087975399485953,5.046632080924576,3.583631335288385,3.923954779566667,6.036655126982198,2.7747788639057602,74.54637241384646,3.624615469471974,74197,958,305400,0.4245,38.253938028976066,82376.85222402574,213355058738,3151239
